url,comment,year,photographer,number,road,suburb,lat,lon
http://purl.slwa.wa.gov.au/slwa_b3799955_18,"312140PD: Mounts Bay Road, Perth east toward William St, June 1986",1981,"Smith, Betty, photographer.",,WILLIAM STREET,PERTH,-31.954203,115.856602
http://purl.slwa.wa.gov.au/slwa_b3799955_19,"314279PD: The Forrest Centre under construction, Mounts Bay Rd, Perth, November 1985",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_20,"314280PD: City Mutual Place under construction corner of Mounts Bay Rd and Mill St, Perth, November 1985",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_21,"314733PD: Western Australian University Regiment (Citizen Military Force), 20 Mounts Bay Road, Perth, October 1981",1981,"Smith, Betty, photographer.",20,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_22,"314734PD: West Australian Newspapers building, Mounts Bay Rd, Perth, September 1981",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_23,"315034PD: The Mount Hospital from Kings Park, November 1987",1981,"Smith, Betty, photographer.",,FRASER AVENUE,PERTH,-31.954272,115.844307
http://purl.slwa.wa.gov.au/slwa_b3799955_24,"315035PD: Across the Mount Hospital to the city from Kings Park, Perth, November 1987",1981,"Smith, Betty, photographer.",,FRASER AVENUE,PERTH,-31.954272,115.844307
http://purl.slwa.wa.gov.au/slwa_b3799955_25,"315139PD: The Forrest Centre, corner of Mill St and Mounts Bay Rd, Perth, June 1988",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_26,"315140PD: The Forrest Centre, corner of Mill St and Mounts Bay Rd, Perth, June 1988",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_27,"315141PD: Intersection of Mounts Bay Rd and Mill St, Perth, June 1988",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_28,"315340PD: The Quadrant under construction, corner of Mounts Bay Rd and William St, Perth, September 1989. Site of the former War Veterans Building",1981,"Smith, Betty, photographer.",,WILLIAM STREET,PERTH,-31.954203,115.856602
http://purl.slwa.wa.gov.au/slwa_b3799955_29,"315566PD: Quayside on Mill, corner of Mounts Bay Rd and Mill St, Perth, March 1991",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_30,"315568PD: View of Australia Place and the National Mutual Building taken from Mounts Bay Rd, Perth, March 1991",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_31,"315569PD: Central Park under construction, back of the Perth Technical College at centre, March 1991",1981,"Smith, Betty, photographer.",,ST GEORGES TERRACE,PERTH,-31.953700,115.855680
http://purl.slwa.wa.gov.au/slwa_b3799955_32,"315744PD: Walkway of Westralia Place, view towards Mounts Bay Rd, Perth, April 1992",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
http://purl.slwa.wa.gov.au/slwa_b3799955_33,"315746PD: Transperth Busport with the city in the background, April 1992",1981,"Smith, Betty, photographer.",,,,NA,NA
http://purl.slwa.wa.gov.au/slwa_b3799955_34,"315747PD: Quayside on Mill, Mounts Bay Rd facade, Perth April 1992",1981,"Smith, Betty, photographer.",,MOUNTS BAY ROAD,PERTH,-31.954810,115.848279
